"station","attraction"
"苹果园","Kappa首钢极限公园"
"苹果园","中国第四纪冰川遗迹陈列馆"
"苹果园","勑赐承恩寺"
"古城","古城公园"
"古城","石景山雕塑公园"
"八角游乐园","石景山游乐园"
"八角游乐园","松林公园"
"八角游乐园","田村城市休闲公园"
"八角游乐园","老山城市休闲公园"
"八角游乐园","半月园"
"八宝山","老山城市休闲公园"
"八宝山","八宝山革命公墓"
"八宝山","北京国际雕塑公园"
"玉泉路","北京国际雕塑公园"
"玉泉路","旺景公园"
"玉泉路","阳光星期八公园"
"玉泉路","铁道兵纪念馆"
"五棵松","五棵松公园"
"五棵松","定慧公园"
"万寿路","翠微烟雨公园"
"公主坟","玉渊潭公园"
"公主坟","太平洋海底世界博览馆"
"公主坟","中央电视塔"
"公主坟","翠微烟雨公园"
"公主坟","小天鹅公园"
"军事博物馆","中国人民革命军事博物馆"
"军事博物馆","中华世纪坛世界艺术馆"
"军事博物馆","世纪园"
"军事博物馆","宋庆龄儿童科学技术馆"
"军事博物馆","玉渊潭公园"
"木樨地","首都博物馆"
"木樨地","玉渊潭公园东门"
"木樨地","白云观"
"南礼士路","南礼士路公园"
"南礼士路","月坛公园"
"复兴门","南礼士路公园"
"复兴门","吕祖宫"
"复兴门","都城隍庙"
"西单","西单文化广场"
"西单","民族文化宫"
"西单","西单大悦城"
"天安门西","中山公园"
"天安门西","天安门广场"
"天安门西","人民大会堂"
"天安门西","国家大剧院"
"天安门东","故宫"
"天安门东","中国国家博物馆"
"天安门东","菖蒲河公园"
"天安门东","翰林院遗址"
"天安门东","东源戏楼"
"天安门东","茅台博物馆"
"天安门东","天安门广场"
"天安门东","皇史宬"
"天安门东","普度寺"
"天安门东","太庙"
"王府井","王府井大街"
"王府井","普度寺"
"东单","中国妇女儿童博物馆"
"东单","东单公园"
"东单","于谦祠"
"建国门","北京古观象台"
"建国门","中国海关博物馆"
"建国门","日坛公园"
"建国门","智化寺"
"永安里","日坛公园"
"国贸","庆丰公园"
"国贸","CBD城市森林公园"
"大望路","国家电力科技展示中心"
"大望路","中工艺美公共外交艺术馆"
"四惠","惠水湾森林公园"
"四惠东","北京晋商博物馆"
"高碑店","中国紫檀博物馆"
"高碑店","兴隆公园"
"高碑店","高碑店漕运历史文化游览区"
"传媒大学","百花公园"
"传媒大学","杜仲公园"
"双桥","西会公园"
"管庄","西会公园"
"八里桥","东一处公园"
"八里桥","八里桥公园"
"八里桥","永顺公园"
"通州北苑","五里店西铁道公园"
"通州北苑","杨庄公园"
"九棵树","漫春园"
"临河里","梨园城市森林公园"
"临河里","梨园主题公园"
"环球度假区","北京环球度假区"
"积水潭","什刹海"
"积水潭","潭西胜境"
"积水潭","德胜门箭楼·德胜公园"
"鼓楼大街","安德城市森林公园"
"鼓楼大街","北二环城市公园"
"鼓楼大街","北滨河公园"
"安定门","北二环城市公园"
"安定门","安定门健身乐园"
"安定门","成贤街"
"安定门","青年湖公园"
"安定门","地坛公园"
"雍和宫","雍和宫"
"雍和宫","地坛公园"
"雍和宫","孔庙和国子监博物馆"
"雍和宫","五道营"
"雍和宫","北二环城市公园"
"雍和宫","柏林寺"
"雍和宫","安定门健身乐园"
"东直门","南馆公园"
"东直门","通教寺"
"东直门","中国华侨历史博物馆"
"东直门","东直门外清真寺"
"东直门","中国医史博物馆"
"东直门","北京自来水博物馆"
"东四十条","北京工人体育馆"
"东四十条","新中街城市森林公园"
"朝阳门","北京民俗博物馆/东岳庙"
"朝阳门","南豆芽清真寺(豆瓣胡同)"
"朝阳门","东四奥林匹克社区博物馆"
"朝阳门","智化寺"
"建国门","北京古观象台"
"建国门","中国海关博物馆"
"建国门","日坛公园"
"建国门","智化寺"
"北京站","明城墙遗址公园"
"崇文门","明城墙遗址公园"
"崇文门","东单公园"
"崇文门","东交民巷使馆建筑群"
"前门","天安门广场"
"前门","北京警察博物馆"
"前门","正阳门·箭楼"
"前门","中国国家博物馆"
"前门","北京市规划展览馆"
"前门","中国铁道博物馆正阳门展馆"
"前门","前门大街"
"前门","月亮湾公园"
"前门","北京杜莎夫人蜡像馆"
"和平门","琉璃厂古文化街"
"和平门","荣宝斋美术馆"
"宣武门","北京教区宣武门天主堂"
"宣武门","繁星美术馆"
"宣武门","沈家本故居"
"长椿街","宣武艺园"
"长椿街","翠芳园"
"复兴门","南礼士路公园"
"复兴门","吕祖宫"
"复兴门","都城隍庙"
"阜成门","北京鲁迅博物馆"
"阜成门","白塔寺"
"阜成门","老北京四合院文化博物馆"
"阜成门","顺城公园"
"车公庄","国家京剧院"
"车公庄","利玛窦和外国传教士墓地"
"车公庄","玉皇阁"
"车公庄","官园公园"
"安定门","地坛公园"
"安定门","安定门健身乐园"
"北宫门","颐和园"
"圆明园","圆明园"
"圆明园","清华大学"
"北京大学东门","清华大学"
"北京大学东门","北京大学"
"中关村","黄庄双关帝庙"
"海淀黄庄","知春公园"
"人民大学","北京科技会展中心"
"魏公村","法华禅寺"
"魏公村","大慧寺"
"国家图书馆","国家图书馆"
"国家图书馆","紫竹院公园"
"国家图书馆","北京石刻艺术博物馆"
"国家图书馆","首都滑冰馆"
"国家图书馆","北京动物园"
"国家图书馆","极乐寺"
"国家图书馆","首都滑冰馆"
"动物园","北京动物园"
"动物园","北京天文馆"
"动物园","中国古动物馆"
"新街口","八道湾鲁迅纪念馆"
"新街口","新街口城市森林公园"
"平安里","护国寺小吃街"
"平安里","毗卢寺"
"平安里","梅兰芳纪念馆"
"西四","勅建弘慈广济寺"
"西四","中国地质博物馆"
"西四","西什库天主教堂"
"西四","历代帝王庙"
"灵境胡同","西单大悦城"
"西单","西单文化广场"
"西单","民族文化宫"
"西单","西单大悦城"
"宣武门","北京教区宣武门天主堂"
"宣武门","繁星美术馆"
"宣武门","沈家本故居"
"菜市口","法源寺"
"菜市口","莲花寺"
"菜市口","广阳谷城市森林公园"
"陶然亭","陶然亭公园"
"陶然亭","万寿公园"
"北京南站","万芳亭"
"马家堡","嘉河公园"
"角门西","嘉园三里公园"
"角门西","嘉囿城市休闲公园"
"公益西桥","槐新公园"
"新宫","南苑公园"
"西红门","兴海公园"
"西红门","地铁文化公园"
"西红门","西红门九龙口休闲公园"
"高米店北","滨河公园"
"高米店北","翡翠公园"
"高米店南","金星公园"
"枣园","枣林公园"
"枣园","康庄公园"
"清源路","黄村公园"
"清源路","中国印刷博物馆"
"义和庄","念坛公园"
"义和庄","大兴新城滨河森林公园"
"义和庄","兴良路公园"
"天通苑","天通艺园"
"天通苑南","太平郊野公园"
"立水桥","立水桥公园"
"立水桥","东小口森林公园"
"立水桥南","清河营郊野公园"
"立水桥南","东小口森林公园"
"立水桥南","景藏健康公园"
"北苑路北","勇士营郊野公园"
"北苑路北","北辰绿色中央公园"
"大屯路东","仰山公园"
"惠新西街南口","元大都城垣遗址公园"
"和平里北街","地坛公园"
"和平里北街","柳荫公园"
"雍和宫","雍和宫"
"雍和宫","地坛公园"
"雍和宫","孔庙和国子监博物馆"
"雍和宫","五道营"
"雍和宫","北二环城市公园"
"雍和宫","柏林寺"
"雍和宫","安定门健身乐园"
"北新桥","簋街"
"北新桥","中国华侨历史博物馆"
"北新桥","通教寺"
"北新桥","中国医史博物馆"
"东四站","东四胡同博物馆"
"东四站","中国美术馆"
"东四站","东四清真寺"
"灯市口","蔡元培故居"
"东单","中国妇女儿童博物馆"
"东单","东单公园"
"东单","于谦祠"
"崇文门","明城墙遗址公园"
"崇文门","东单公园"
"崇文门","东交民巷使馆建筑群"
"磁器口","曹雪芹故居纪念馆"
"磁器口","花市清真寺"
"天坛东门","天坛"
"天坛东门","龙潭西湖公园"
"蒲黄榆","玉蜓公园"
"蒲黄榆","怡心园"
"蒲黄榆","方庄体育公园"
"金安桥","首钢工业遗址公园"
"金安桥","石景山公园"
"苹果园","Kappa首钢极限公园"
"苹果园","中国第四纪冰川遗迹陈列馆"
"苹果园","勑赐承恩寺"
"杨庄","苹果园公园"
"杨庄","八角新乐园"
"杨庄","平坡草树公园"
"西黄村","平坡草树公园"
"西黄村","八角新乐园"
"西黄村","西黄村公园"
"廖公庄","平庄郊野公园"
"田村","平庄郊野公园"
"田村","阳光星期八公园"
"海淀五路居","定慧公园"
"慈寿寺","京门铁路主题公园"
"慈寿寺","慈寿寺塔·玲珑公园"
"花园桥","中塔公园"
"车公庄","国家京剧院"
"车公庄","利玛窦和外国传教士墓地"
"车公庄","玉皇阁"
"车公庄","官园公园"
"平安里","护国寺小吃街"
"平安里","毗卢寺"
"平安里","梅兰芳纪念馆"
"北海北","什刹海"
"北海北","北海公园"
"北海北","郭沫若故居"
"北海北","恭王府"
"南锣鼓巷","南锣鼓巷"
"南锣鼓巷","嵩祝寺及智珠寺"
"南锣鼓巷","僧王府"
"南锣鼓巷","景山公园"
"南锣鼓巷","皇城根遗址公园"
"东四站","东四胡同博物馆"
"东四站","中国美术馆"
"东四站","东四清真寺"
"朝阳门","北京民俗博物馆/东岳庙"
"朝阳门","南豆芽清真寺(豆瓣胡同)"
"朝阳门","东四奥林匹克社区博物馆"
"朝阳门","智化寺"
"东大桥","北京工体富国海底世界"
"东大桥","北京民俗博物馆/东岳庙"
"呼家楼","团结湖公园"
"金台路","万科公园"
"金台路","红领巾公园"
"十里堡","红领巾公园"
"十里堡","清风绿屿"
"十里堡","十北文化公园"
"青年路","儿童主题公园"
"青年路","八里庄绿无限公园"
"青年路","京城森林公园"
"青年路","朝阳区平房公园"
"褡裢坡","京城梨园"
"褡裢坡","黄渠公园"
"褡裢坡","石各庄公园"
"黄渠","常营马拉松体育公园"
"黄渠","常营清真古寺"
"常营","常营公园"
"常营","常营体育公园"
"草房","五里桥公园"
"草房","香江常营亲子游乐园"
"草房","永顺城市公园"
"草房","马术公园"
"物资学院路","温榆河滨河森林公园"
"通州北关","西海子公园"
"通州北关","三教庙"
"通州北关","大光楼"
"通州北关","北京(通州)大运河文化旅游景区"
"通州北关","北京市通州区博物馆"
"北运河西","北京(通州)大运河文化旅游景区"
"北运河东","运河生态公园"
"郝家府","北京(通州)大运河文化旅游景区"
"潞城","东堡公园"
"北京西","莲花池公园"
"湾子","莲花河城市休闲公园"
"达官营","中国国家话剧院"
"达官营","天宁寺塔"
"达官营","滨河公园"
"广安门内","广宁公园"
"广安门内","报国寺"
"广安门内","宣武艺园"
"广安门内","北京宣南文化博物馆"
"广安门内","宝应寺"
"菜市口","法源寺"
"菜市口","莲花寺"
"菜市口","广阳谷城市森林公园"
"虎坊桥","琉璃厂古文化街"
"虎坊桥","京韵园"
"虎坊桥","纪晓岚故居"
"虎坊桥","93号院博物馆"
"虎坊桥","蜡烛园"
"虎坊桥","湖广会馆-大戏楼"
"虎坊桥","林则徐故居(福州新馆)"
"桥湾","三里河公园"
"桥湾","重兴关帝庙"
"桥湾","吴越钱氏宗祠"
"桥湾","金台书院"
"磁器口","曹雪芹故居纪念馆"
"磁器口","花市清真寺"
"广渠门内","袁崇焕墓和祠"
"大郊亭","百子湾园"
"百子湾","惠水湾森林公园"
"化工","窑洼湖公园"
"欢乐谷景区","北京欢乐谷"
"欢乐谷景区","小武基公园"
