id1,id2,stnName1,stnName2,length
0,1,古城,八角游乐园,1921
1,2,八角游乐园,八宝山,1953
2,3,八宝山,玉泉路,1479
3,4,玉泉路,五棵松,1810
4,5,五棵松,万寿路,1778
5,6,万寿路,公主坟,1313
6,7,公主坟,军事博物馆,1172
7,8,军事博物馆,木樨地,1166
8,9,木樨地,南礼士路,1291
9,10,南礼士路,复兴门,424
10,11,复兴门,西单,1596
11,12,西单,天安门西,1217
12,13,天安门西,天安门东,925
13,14,天安门东,王府井,852
14,15,王府井,东单,774
15,16,东单,建国门,1230
16,17,建国门,永安里,1377
17,18,永安里,国贸,790
18,19,国贸,大望路,1385
19,20,大望路,四惠,1673
20,21,四惠,四惠东,1714
21,22,四惠东,高碑店,1375
22,23,高碑店,传媒大学,2002
23,24,传媒大学,双桥,1894
24,25,双桥,管庄,1912
25,26,管庄,八里桥,1763
26,27,八里桥,通州北苑,1700
27,28,通州北苑,果园,1465
28,29,果园,九棵树,990
29,30,九棵树,梨园,1225
30,31,梨园,临河里,1257
31,32,临河里,土桥,776
32,33,土桥,花庄,2238
33,34,花庄,环球度假区,1863
34,35,环球度假区,西直门,
35,36,西直门,积水潭,
36,37,积水潭,鼓楼大街,
37,38,鼓楼大街,安定门,
38,39,安定门,雍和宫,
39,40,雍和宫,东直门,
40,41,东直门,东四十条,
41,42,东四十条,朝阳门,
42,16,朝阳门,建国门,
16,44,建国门,北京站,
44,45,北京站,崇文门,
45,46,崇文门,前门,
46,47,前门,和平门,
47,48,和平门,宣武门,
48,49,宣武门,长椿街,
49,10,长椿街,复兴门,
10,51,复兴门,阜成门,
51,52,阜成门,车公庄,
52,35,车公庄,西直门,
53,54,安河桥北,北宫门,1363
54,55,北宫门,西苑,1251
55,56,西苑,圆明园,1672
56,57,圆明园,北京大学东门,1295
57,58,北京大学东门,中关村,887
58,59,中关村,海淀黄庄,900
59,60,海淀黄庄,人民大学,1063
60,61,人民大学,魏公村,1051
61,62,魏公村,国家图书馆,1658
62,63,国家图书馆,动物园,1517
63,35,动物园,西直门,1441
35,65,西直门,新街口,1025
65,66,新街口,平安里,1100
66,67,平安里,西四,1100
67,68,西四,灵境胡同,869
68,11,灵境胡同,西单,1011
11,48,西单,宣武门,815
48,71,宣武门,菜市口,1152
71,72,菜市口,陶然亭,1200
72,73,陶然亭,北京南站,1643
73,74,北京南站,马家堡,1480
74,75,马家堡,角门西,827
75,76,角门西,公益西桥,989
76,77,公益西桥,新宫,2798
77,78,新宫,西红门,5102
78,79,西红门,高米店北,1810
79,80,高米店北,高米店南,1128
80,81,高米店南,枣园,1096
81,82,枣园,清源路,1200
82,83,清源路,黄村西大街,1214
83,84,黄村西大街,黄村火车站,987
84,85,黄村火车站,义和庄,2035
85,86,义和庄,生物医药基地,2918
86,87,生物医药基地,天宫院,1811
88,89,天通苑北,天通苑,941
89,90,天通苑,天通苑南,964
90,91,天通苑南,立水桥,1544
91,92,立水桥,立水桥南,1306
92,93,立水桥南,北苑路北,1330
93,94,北苑路北,大屯路东,2956
94,95,大屯路东,惠新西街北口,1838
95,96,惠新西街北口,惠新西街南口,1121
96,97,惠新西街南口,和平西桥,1026
97,98,和平西桥,和平里北街,1059
98,39,和平里北街,雍和宫,1151
39,100,雍和宫,北新桥,866
100,101,北新桥,张自忠路,791
101,102,张自忠路,东四,1017
102,103,东四,灯市口,848
103,15,灯市口,东单,945
15,45,东单,崇文门,822
45,106,崇文门,磁器口,877
106,107,磁器口,天坛东门,1183
107,108,天坛东门,蒲黄榆,1900
108,109,蒲黄榆,刘家窑,905
109,110,刘家窑,宋家庄,1670
111,112,苹果园,海淀五路居,
112,113,海淀五路居,慈寿寺,
113,114,慈寿寺,花园桥,
114,115,花园桥,白石桥南,
115,116,白石桥南,车公庄西,
116,52,车公庄西,车公庄,
52,66,车公庄,平安里,
66,119,平安里,北海北,
119,120,北海北,南锣鼓巷,
120,102,南锣鼓巷,东四,
102,42,东四,朝阳门,
42,123,朝阳门,东大桥,
123,124,东大桥,呼家楼,
124,125,呼家楼,金台路,
125,126,金台路,十里堡,
126,127,十里堡,青年路,
127,128,青年路,褡裢坡,
128,129,褡裢坡,黄渠,
129,130,黄渠,常营,
130,131,常营,草房,
131,132,草房,物资学院路,
132,133,物资学院路,通州北关,
133,134,通州北关,北运河西,
134,135,北运河西,郝家府,
135,136,郝家府,东夏园,
136,137,东夏园,潞城,
137,138,潞城,北京西站,
138,139,北京西站,湾子,
139,140,湾子,达官营,
140,141,达官营,广安门内,
141,71,广安门内,菜市口,
71,143,菜市口,虎坊桥,
143,144,虎坊桥,珠市口,
144,145,珠市口,桥湾,
145,106,桥湾,磁器口,
106,147,磁器口,广渠门内,
147,148,广渠门内,广渠门外,
148,149,广渠门外,双井,
149,150,双井,九龙山,
150,151,九龙山,大郊亭,
151,152,大郊亭,百子湾,
152,153,百子湾,化工,
153,154,化工,南楼梓庄,
154,155,南楼梓庄,欢乐谷景区,
155,156,欢乐谷景区,双合,
156,157,双合,焦化厂,
157,158,焦化厂,黄厂,
158,159,黄厂,郎辛庄,
159,160,郎辛庄,黑庄户,
160,161,黑庄户,万盛西,
161,162,万盛西,万盛东,
162,163,万盛东,群芳,
163,164,群芳,高楼金,
164,33,高楼金,花庄,
33,166,花庄,朱辛庄,
166,167,朱辛庄,育知路,
167,168,育知路,平西府,
168,169,平西府,回龙观东大街,
169,170,回龙观东大街,霍营,
170,171,霍营,育新,
171,172,育新,西小口,
172,173,西小口,永泰庄,
