"id1","id2","stnName1","stnName2","length","onLine"
"0","1","古城","八角游乐园","1921","1"
"1","2","八角游乐园","八宝山","1953","1"
"2","3","八宝山","玉泉路","1479","1"
"3","4","玉泉路","五棵松","1810","1"
"4","5","五棵松","万寿路","1778","1"
"5","6","万寿路","公主坟","1313","1"
"6","7","公主坟","军事博物馆","1172","1"
"7","8","军事博物馆","木樨地","1166","1"
"8","9","木樨地","南礼士路","1291","1"
"9","10","南礼士路","复兴门","424","1"
"10","11","复兴门","西单","1596","1"
"11","12","西单","天安门西","1217","1"
"12","13","天安门西","天安门东","925","1"
"13","14","天安门东","王府井","852","1"
"14","15","王府井","东单","774","1"
"15","16","东单","建国门","1230","1"
"16","17","建国门","永安里","1377","1"
"17","18","永安里","国贸","790","1"
"18","19","国贸","大望路","1385","1"
"19","20","大望路","四惠","1673","1"
"20","21","四惠","四惠东","1714","1"
"21","22","四惠东","高碑店","1375","1"
"22","23","高碑店","传媒大学","2002","1"
"23","24","传媒大学","双桥","1894","1"
"24","25","双桥","管庄","1912","1"
"25","26","管庄","八里桥","1763","1"
"26","27","八里桥","通州北苑","1700","1"
"27","28","通州北苑","果园","1465","1"
"28","29","果园","九棵树","990","1"
"29","30","九棵树","梨园","1225","1"
"30","31","梨园","临河里","1257","1"
"31","32","临河里","土桥","776","1"
"32","33","土桥","花庄","2238","1"
"33","34","花庄","环球度假区","1863","1"
"35","36","西直门","积水潭","1896","2"
"36","37","积水潭","鼓楼大街","1766","2"
"37","38","鼓楼大街","安定门","1237","2"
"38","39","安定门","雍和宫","792","2"
"39","40","雍和宫","东直门","2228","2"
"40","41","东直门","东四十条","824","2"
"41","42","东四十条","朝阳门","1027","2"
"42","16","朝阳门","建国门","1736","2"
"16","44","建国门","北京站","946","2"
"44","45","北京站","崇文门","1023","2"
"45","46","崇文门","前门","1634","2"
"46","47","前门","和平门","1171","2"
"47","48","和平门","宣武门","851","2"
"48","49","宣武门","长椿街","929","2"
"49","10","长椿街","复兴门","1234","2"
"10","51","复兴门","阜成门","1833","2"
"51","52","阜成门","车公庄","960","2"
"52","35","车公庄","西直门","910","2"
"53","54","安河桥北","北宫门","1363","4"
"54","55","北宫门","西苑","1251","4"
"55","56","西苑","圆明园","1672","4"
"56","57","圆明园","北京大学东门","1295","4"
"57","58","北京大学东门","中关村","887","4"
"58","59","中关村","海淀黄庄","900","4"
"59","60","海淀黄庄","人民大学","1063","4"
"60","61","人民大学","魏公村","1051","4"
"61","62","魏公村","国家图书馆","1658","4"
"62","63","国家图书馆","动物园","1517","4"
"63","35","动物园","西直门","1441","4"
"35","65","西直门","新街口","1025","4"
"65","66","新街口","平安里","1100","4"
"66","67","平安里","西四","1100","4"
"67","68","西四","灵境胡同","869","4"
"68","11","灵境胡同","西单","1011","4"
"11","48","西单","宣武门","815","4"
"48","71","宣武门","菜市口","1152","4"
"71","72","菜市口","陶然亭","1200","4"
"72","73","陶然亭","北京南站","1643","4"
"73","74","北京南站","马家堡","1480","4"
"74","75","马家堡","角门西","827","4"
"75","76","角门西","公益西桥","989","4"
"76","77","公益西桥","新宫","2798","4"
"77","78","新宫","西红门","5102","4"
"78","79","西红门","高米店北","1810","4"
"79","80","高米店北","高米店南","1128","4"
"80","81","高米店南","枣园","1096","4"
"81","82","枣园","清源路","1200","4"
"82","83","清源路","黄村西大街","1214","4"
"83","84","黄村西大街","黄村火车站","987","4"
"84","85","黄村火车站","义和庄","2035","4"
"85","86","义和庄","生物医药基地","2918","4"
"86","87","生物医药基地","天宫院","1811","4"
"88","89","天通苑北","天通苑","941","5"
"89","90","天通苑","天通苑南","964","5"
"90","91","天通苑南","立水桥","1544","5"
"91","92","立水桥","立水桥南","1306","5"
"92","93","立水桥南","北苑路北","1330","5"
"93","94","北苑路北","大屯路东","2956","5"
"94","95","大屯路东","惠新西街北口","1838","5"
"95","96","惠新西街北口","惠新西街南口","1121","5"
"96","97","惠新西街南口","和平西桥","1026","5"
"97","98","和平西桥","和平里北街","1059","5"
"98","39","和平里北街","雍和宫","1151","5"
"39","100","雍和宫","北新桥","866","5"
"100","101","北新桥","张自忠路","791","5"
"101","102","张自忠路","东四","1017","5"
"102","103","东四","灯市口","848","5"
"103","15","灯市口","东单","945","5"
"15","45","东单","崇文门","822","5"
"45","106","崇文门","磁器口","877","5"
"106","107","磁器口","天坛东门","1183","5"
"107","108","天坛东门","蒲黄榆","1900","5"
"108","109","蒲黄榆","刘家窑","905","5"
"109","110","刘家窑","宋家庄","1670","5"
"111","112","金安桥","苹果园","1438","6"
"112","113","苹果园","杨庄","839","6"
"113","114","杨庄","西黄村","1792","6"
"114","115","西黄村","廖公庄","1794","6"
"115","116","廖公庄","田村","2276","6"
"116","117","田村","海淀五路居","2140","6"
"117","118","海淀五路居","慈寿寺","1509","6"
"118","119","慈寿寺","花园桥","1431","6"
"119","120","花园桥","白石桥南","1167","6"
"120","121","白石桥南","二里沟","777","6"
"121","122","二里沟","车公庄西","888","6"
"122","52","车公庄西","车公庄","887","6"
"52","66","车公庄","平安里","1444","6"
"66","125","平安里","北海北","1322","6"
"125","126","北海北","南锣鼓巷","1349","6"
"126","102","南锣鼓巷","东四","1937","6"
"102","42","东四","朝阳门","1400","6"
"42","129","朝阳门","东大桥","1669","6"
"129","130","东大桥","呼家楼","846","6"
"130","131","呼家楼","金台路","1450","6"
"131","132","金台路","十里堡","2037","6"
"132","133","十里堡","青年路","1283","6"
"133","134","青年路","褡裢坡","3999","6"
"134","135","褡裢坡","黄渠","1239","6"
"135","136","黄渠","常营","1854","6"
"136","137","常营","草房","1407","6"
"137","138","草房","物资学院路","2115","6"
"138","139","物资学院路","通州北关","2557","6"
"139","140","通州北关","北运河西","3011","6"
"140","141","北运河西","北运河东","1600","6"
"141","142","北运河东","郝家府","929","6"
"142","143","郝家府","东夏园","1347","6"
"143","144","东夏园","潞城","1194","6"
"145","146","北京西站","湾子","935","7"
"146","147","湾子","达官营","734","7"
"147","148","达官营","广安门内","1875","7"
"148","71","广安门内","菜市口","1373","7"
"71","150","菜市口","虎坊桥","886","7"
"150","151","虎坊桥","珠市口","1205","7"
"151","152","珠市口","桥湾","869","7"
"152","106","桥湾","磁器口","1016","7"
